NJID,NJName,Rating,AsOfDate
3375,Highland Park,1138.733101,11/19/2019
9717,Sinai Christian,1132.761955,11/19/2019
3579,Keyport,1134.840766,11/19/2019
2933,Brearley,1134.076786,11/19/2019
4696,Triton,1111.115097,11/19/2019
4457,Roselle Park,1115.218126,11/19/2019
3774,Manville,1116.038709,11/19/2019
2581,Schalick,1101.895445,11/19/2019
4274,Pemberton,1092.893917,11/19/2019
4546,South Amboy,1088.307252,11/19/2019
3209,Gateway,1089.259083,11/19/2019
3359,Henry Hudson,1084.987878,11/19/2019
6308,Kearny Christian,1094.74554,11/19/2019
6354,Noor-ul-iman,1079.655357,11/19/2019
2629,Bayonne,1082.754833,11/19/2019
3961,Mount Olive,1089.611938,11/19/2019
4876,Whippany Park,1065.847535,11/19/2019
3245,Gloucester Tech,1058.010024,11/19/2019
6297,Camden Academy Charter,1064.610425,11/19/2019
4006,New Egypt,1052.029219,11/19/2019
6331,Timothy Christian,1049.832942,11/19/2019
2651,Belvidere,1051.853311,11/19/2019
2747,Butler,1057.789984,11/19/2019
3471,Iselin Kennedy,1054.742565,11/19/2019
4317,Point Pleasant Beach,1037.474091,11/19/2019
2868,Cliffside Park,1048.38508,11/19/2019
4687,Toms River South,1045.16963,11/19/2019
9233,Great Oaks Charter,1029.610877,11/19/2019
6336,Wardlaw-Hartridge,1026.899503,11/19/2019
8395,METS Charter,1015.791408,11/19/2019
4045,North Warren,1013.193951,11/19/2019
3572,Keansburg,992.4054741,11/19/2019
3010,East Brunswick Tech,982.1634274,11/19/2019
4282,Pennsville,969.4550686,11/19/2019
3615,Lakeland,970.4671773,11/19/2019
2498,Absegami,966.8967759,11/19/2019
2737,Buena,958.1668947,11/19/2019
8520,Vineland Prep,956.8508659,11/19/2019
3413,Hopatcong,957.1739469,11/19/2019
9446,Passaic Charter,947.845479,11/19/2019
4499,Science Park,933.7145559,11/19/2019
6353,LEAP Academy,937.1275154,11/19/2019
3778,Maple Shade,929.5763801,11/19/2019
4033,North Arlington,930.8209655,11/19/2019
4762,Waldwick,917.5556575,11/19/2019
6341,Warren Tech,923.3300143,11/19/2019
4011,New Milford,913.7827461,11/19/2019
4244,Park Ridge,912.2608484,11/19/2019
6446,Salem Tech,871.9085837,11/19/2019
6333,University Charter,883.6388688,11/19/2019
3322,Harrison,875.5537782,11/19/2019
8829,Freedom Prep Charter,868.981801,11/19/2019
4632,Technology,825.6313337,11/19/2019
8859,Central Jersey College Charter,776.3380291,11/19/2019
8291,Bard,734.7452316,11/19/2019
4617,Sussex Tech,648.7696335,11/19/2019
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
