NJID,NJName,Rating,AsOfDate
3235,Glen Rock,1678.290875,11/19/2019
3177,Franklin,1671.954521,11/19/2019
8605,Foundation Collegiate,1670.01413,11/19/2019
4000,Neptune,1664.45248,11/19/2019
6913,Roman Catholic (PA),1668.690549,11/19/2019
4685,Toms River East,1674.841961,11/19/2019
2947,Delaware Valley,1667.295333,11/19/2019
4035,North Bergen,1663.088986,11/19/2019
5092,Paramus Catholic,1663.661325,11/19/2019
3793,Marlboro,1658.556294,11/19/2019
6497,Haverford (Private) (PA),1663.497442,11/19/2019
4004,New Brunswick,1665.976683,11/19/2019
2996,Dwight-Morrow,1648.703093,11/19/2019
4508,Seneca,1652.397599,11/19/2019
6697,Pennsylvania School for the Deaf (PA),1649.740791,11/19/2019
6294,Academy Charter,1652.376101,11/19/2019
6044,DePaul,1652.672818,11/19/2019
8518,Our Savior Lutheran (NY),1654.966979,11/19/2019
10042,Norcross,1641.695353,11/19/2019
2858,Clayton,1653.905097,11/19/2019
4547,South Brunswick,1644.981766,11/19/2019
4973,Holy Spirit,1639.697731,11/19/2019
7519,Mastery Charter North (PA),1641.472986,11/19/2019
4752,Vineland,1641.650865,11/19/2019
7640,"Philadelphia Math, Sciences and Civics (PA)",1645.614363,11/19/2019
2948,Delran,1641.428415,11/19/2019
3400,Hoboken,1635.977489,11/19/2019
4260,Passaic Tech,1632.373128,11/19/2019
3937,Monroe,1636.861945,11/19/2019
2692,Bordentown,1628.992281,11/19/2019
4284,Pequannock,1634.833592,11/19/2019
2683,Bloomfield,1625.961176,11/19/2019
6604,Paul VI (VA),1627.371218,11/19/2019
8590,Cardinal Hayes (NY),1626.870652,11/19/2019
6330,Doane Academy,1623.228657,11/19/2019
2688,Bogota,1620.677055,11/19/2019
4303,Pinelands,1627.710318,11/19/2019
9587,Girard College (PA),1622.158661,11/19/2019
3479,J.P. Stevens,1626.16841,11/19/2019
4255,Parsippany Hills,1624.598875,11/19/2019
6672,Abington Friends (PA),1615.112648,11/19/2019
6628,Shipley (PA),1620.801217,11/19/2019
4042,North Hunterdon,1620.059097,11/19/2019
4870,Westfield,1621.347138,11/19/2019
3864,Memorial,1613.348889,11/19/2019
3378,Hightstown,1608.144963,11/19/2019
6337,Westampton Tech,1609.791173,11/19/2019
4391,Ridge,1611.991839,11/19/2019
8227,IMG Academy (FL),1605.328726,11/19/2019
5773,Mater Dei,1587.96207,11/19/2019
6895,Father Judge (PA),1596.316949,11/19/2019
3309,Hanover Park,1597.605648,11/19/2019
6573,Wilson (PA),1592.786916,11/19/2019
4951,Wood-Ridge,1597.521881,11/19/2019
6302,Hawthorne Christian,1598.493094,11/19/2019
2826,Chatham,1587.367401,11/19/2019
2890,Columbia,1582.94614,11/19/2019
10052,Berean Christian School (TN),1592.87095,11/19/2019
8136,Sanford (DE),1584.727868,11/19/2019
7662,Jackson (OH),1588.129601,11/19/2019
3731,Lower Cape May,1577.959426,11/19/2019
7213,Blair B,1587.93925,11/19/2019
8470,Springside-Chestnut Hill Academy (PA),1588.016568,11/19/2019
4049,Northern Highlands,1583.130018,11/19/2019
4866,West Windsor-Plainsboro North,1576.589395,11/19/2019
9998,Vashon,1579.832466,11/19/2019
6717,Archbishop Wood (PA),1579.692709,11/19/2019
6817,Solid Rock Christian,1578.896196,11/19/2019
3328,Hasbrouck Heights,1576.919458,11/19/2019
9005,Haverford (Public) (PA),1576.010811,11/19/2019
7802,ANC (PA),1579.82613,11/19/2019
8882,MacDuffie (MA),1571.010938,11/19/2019
7883,New Foundations (PA),1579.392918,11/19/2019
9471,Knox (NY),1566.628333,11/19/2019
4793,Warren Hills,1566.850523,11/19/2019
9829,Covenant Prep,1562.499386,11/19/2019
10009,South Lakes (Va.),1568.284603,11/19/2019
3374,Highland,1564.221388,11/19/2019
3755,Mahwah,1565.141895,11/19/2019
2920,Cresskill,1561.793483,11/19/2019
8101,Sankofa Freedom (PA),1564.970146,11/19/2019
6927,St. Anthony's (NY),1560.264876,11/19/2019
6743,St. Raymond's (NY),1567.225311,11/19/2019
3583,Kingsway,1556.707713,11/19/2019
7317,Council Rock North (PA),1563.402983,11/19/2019
6711,Germantown Academy (PA),1565.137199,11/19/2019
2554,Allentown,1571.146814,11/19/2019
3765,Manchester Regional,1556.807019,11/19/2019
7805,Mercersburg Academy (PA),1554.735979,11/19/2019
5526,Peddie,1551.389618,11/19/2019
9954,West Nottingham (MD),1559.277631,11/19/2019
10055,Tabernacle (NC),1558.658887,11/19/2019
7745,Thurgood Marshall Academy (NY),1556.171105,11/19/2019
6306,Jackson Liberty,1565.199222,11/19/2019
3009,East Brunswick,1556.091864,11/19/2019
6669,Friends Central (PA),1553.013408,11/19/2019
4543,Somerville,1554.308767,11/19/2019
3954,Morris Hills,1549.817199,11/19/2019
3547,Dayton,1553.014682,11/19/2019
7781,Constitution (PA),1549.056839,11/19/2019
6245,Hun,1548.863376,11/19/2019
3291,Haddon Township,1551.65189,11/19/2019
4311,Plainfield,1550.230701,11/19/2019
6835,St. Andrew's (DE),1549.038707,11/19/2019
4829,Washington Township,1543.627842,11/19/2019
4237,Palmyra,1543.648914,11/19/2019
8469,John Carroll (MD),1543.459212,11/19/2019
6216,Oratory,1543.378509,11/19/2019
6740,Phelps (PA),1543.908574,11/19/2019
7133,West Catholic (PA),1535.450323,11/19/2019
9974,Taravella (FLA),1535.215728,11/19/2019
8871,Miami Christian (FL),1530.208364,11/19/2019
7292,Trinity Catholic (CT),1532.104878,11/19/2019
4500,Scotch Plains-Fanwood,1524.851902,11/19/2019
2623,Barringer,1527.316201,11/19/2019
2887,Colts Neck,1523.716811,11/19/2019
8549,Fort Lauderdale (FL),1529.066533,11/19/2019
4360,Randolph,1525.659475,11/19/2019
4742,Verona,1526.233221,11/19/2019
8047,Granite Christian (MD),1529.499009,11/19/2019
8466,Tilton School (NH),1525.229806,11/19/2019
2988,Dunellen,1525.23391,11/19/2019
7359,Warwick Valley (NY),1523.132423,11/19/2019
4505,Secaucus,1515.471748,11/19/2019
6718,Msgr. Bonner (PA),1519.828776,11/19/2019
4048,Northern Burlington,1516.727705,11/19/2019
7730,Rochester School for the Deaf (NY),1527.718506,11/19/2019
3956,Morristown,1513.90138,11/19/2019
6761,Parkland (PA),1520.239393,11/19/2019
3288,Hackettstown,1512.304923,11/19/2019
5161,Holy Cross Prep,1516.373966,11/19/2019
6692,Warwick (NY),1519.778287,11/19/2019
4229,Overbrook,1515.697772,11/19/2019
3018,East Orange,1515.84952,11/19/2019
6625,Philadelphia Montgomery Christian (PA),1512.702242,11/19/2019
7029,Community Academy (PA),1508.89408,11/19/2019
4462,Roxbury,1514.064041,11/19/2019
7119,Lake Forest Academy (IL),1513.202741,11/19/2019
4892,Wildwood,1517.669938,11/19/2019
5716,St. John Vianney,1513.228169,11/19/2019
9193,St. Mary's School for the Deaf (NY),1505.698151,11/19/2019
6677,Easton (PA),1500.206725,11/19/2019
6415,Veritas Christian,1505.583499,11/19/2019
4206,Ocean Township,1501.763464,11/19/2019
3146,Fort Lee,1503.462026,11/19/2019
9980,Mergenthaler Vocational Technical High School,1500.900997,11/19/2019
3589,Kittatinny,1502.832092,11/19/2019
9983,Garner Magnet High School,1499.333658,11/19/2019
6776,Archbishop Carroll (PA),1499.281987,11/19/2019
6976,Salesianum (DE),1499.19308,11/19/2019
10002,South Central (NC),1499.134742,11/19/2019
10024,Learning Academy,1498.733265,11/19/2019
9993,West Charlotte (N.C.),1498.752321,11/19/2019
10026,Federal Way (Wa.),1498.483068,11/19/2019
4404,River Dell,1493.282759,11/19/2019
8195,Msgr. Scanlan (NY),1497.581123,11/19/2019
6846,Cape Henlopen (DE),1497.215632,11/19/2019
3760,Shabazz,1499.644861,11/19/2019
8141,Calvary Christian (FL),1497.027743,11/19/2019
10003,McCracken County (KY),1496.914445,11/19/2019
6605,Middletown (NY),1496.690348,11/19/2019
6508,Calvert Hall (MD),1496.340362,11/19/2019
3894,Middle Township,1493.987295,11/19/2019
9992,Dutchtown (GA),1495.917543,11/19/2019
10061,Cox Mills,1495.978058,11/19/2019
9996,Kennebunk (ME),1495.436412,11/19/2019
6716,Neumann Goretti (PA),1495.24778,11/19/2019
4594,Sterling,1494.226293,11/19/2019
6929,Charlotte (FL),1494.314741,11/19/2019
7208,Caesar Rodney (DE),1494.672745,11/19/2019
10027,Windsor (Ct.),1494.145355,11/19/2019
4185,Nutley,1490.68522,11/19/2019
6701,Valley Forge (PA),1493.283826,11/19/2019
9210,Wilberforce,1486.945084,11/19/2019
9266,Miller School (VA),1491.39619,11/19/2019
4021,Newton,1490.575057,11/19/2019
9320,George Westinghouse (NY),1491.589686,11/19/2019
6250,Caldwell,1494.701184,11/19/2019
10001,Portland (ME),1491.13173,11/19/2019
4910,Williamstown,1488.329792,11/19/2019
8305,Tower Hill (DE),1491.873408,11/19/2019
9032,Eleanor Roosevelt (MD),1489.652793,11/19/2019
9956,Montverde CBD (FL),1488.685898,11/19/2019
9984,Greely (ME),1488.869401,11/19/2019
7283,Whitehall (PA),1488.469662,11/19/2019
3943,Montville,1486.525383,11/19/2019
8934,Freedom Village (NY),1485.27912,11/19/2019
8820,Hackley (NY),1487.919917,11/19/2019
7659,Central (PA),1488.072494,11/19/2019
9978,Taylor Allderdice (PA),1487.737618,11/19/2019
3898,Middletown North,1488.84199,11/19/2019
6249,Pingry,1495.741336,11/19/2019
6642,St. Mark's (DE),1486.779005,11/19/2019
9810,Kellenberg Memorial,1486.430461,11/19/2019
7955,St. Thomas Aquinas (FL),1486.487954,11/19/2019
6985,Martin Luther King (NY),1485.665902,11/19/2019
9162,Southern Lehigh (PA),1484.745369,11/19/2019
4933,Woodbridge,1490.50834,11/19/2019
9298,First Love Christian (PA),1484.553395,11/19/2019
9989,Tate (FL),1483.683384,11/19/2019
9981,Poinciana High School (Fl.),1483.607109,11/19/2019
10028,Executive Education Charter (PA),1483.910024,11/19/2019
7606,New Rochelle (NY),1482.972938,11/19/2019
6947,Cedar Creek,1489.148401,11/19/2019
7021,Kiski (PA),1482.043173,11/19/2019
6358,Abundant Life,1480.60668,11/19/2019
2811,Central Regional,1484.898391,11/19/2019
4375,Red Bank Regional,1480.236047,11/19/2019
8553,Frederick Douglass (NY),1478.417938,11/19/2019
6959,Gilman (MD),1479.469782,11/19/2019
4863,West Orange,1470.286979,11/19/2019
3646,Lenape Valley,1482.819505,11/19/2019
